Rank,Word,Frequency,Dispersion
283,bad,134910,0.96
284,lose,134102,0.97
285,however,142282,0.91
286,member,134731,0.95
287,pay,133133,0.96
288,law,133706,0.95
289,meet,128737,0.98
290,car,133571,0.94
291,city,132684,0.95
292,almost,127907,0.98
293,include,133563,0.93
294,continue,126029,0.98
295,set,127369,0.97
296,later,126495,0.98
297,community,133057,0.93
298,much,126029,0.98
299,name,127139,0.97
300,five,125571,0.97
301,once,126203,0.97
302,white,126760,0.96
303,least,123961,0.98
304,president,134203,0.9
305,learn,124346,0.97
306,real,124187,0.97
307,change,123183,0.98
308,team,131489,0.92
309,minute,126660,0.95
310,best,124850,0.96
311,several,124039,0.97
312,idea,122140,0.98
313,kid,126428,0.95
314,body,125165,0.96
315,information,127331,0.94
316,nothing,126717,0.94
317,ago,125252,0.95
318,right,126278,0.94
319,lead,122691,0.97
320,social,132899,0.89
321,understand,121354,0.97
322,whether,121921,0.96
323,back,125006,0.94
324,watch,124976,0.94
325,together,119186,0.98
326,follow,119425,0.97
327,around,122789,0.94
328,parent,119610,0.97
329,only,117700,0.98
330,stop,121481,0.94
331,face,127291,0.89
332,anything,120292,0.94
333,create,119419,0.95
334,public,119825,0.95
335,already,115220,0.98
336,speak,117358,0.96
337,others,115771,0.97
338,read,114094,0.97
339,level,121704,0.91
340,allow,114892,0.97
341,add,117842,0.94
342,office,114791,0.97
343,spend,114569,0.97
344,door,124993,0.88
345,health,117762,0.94
346,person,113650,0.97
347,art,117851,0.93
348,sure,116186,0.94
349,such,119125,0.92
350,war,117804,0.93
351,history,114904,0.95
352,party,112962,0.96
353,within,114599,0.93
354,grow,110020,0.97
355,result,116277,0.92
356,open,111857,0.94
357,change,112426,0.94
358,morning,114002,0.92
359,walk,113787,0.92
360,reason,106863,0.97
361,low,108990,0.95
362,win,111478,0.93
363,research,114802,0.9
364,girl,110409,0.93
365,guy,110409,0.93
366,early,108171,0.95
367,food,107728,0.96
368,before,107448,0.96
369,moment,109720,0.94
370,himself,109288,0.94
371,air,105932,0.96
372,teacher,116100,0.88
373,force,108005,0.95
374,offer,106473,0.96
375,enough,105880,0.96
376,both,106361,0.95
377,education,113731,0.89
378,across,105559,0.96
379,although,107925,0.93
380,remember,106879,0.94
381,foot,107285,0.94
382,second,103621,0.97
383,boy,107447,0.93
384,maybe,108421,0.92
385,toward,105984,0.94
386,able,103171,0.97
387,age,103402,0.96
388,off,104122,0.95
389,policy,107601,0.92
390,everything,103591,0.95
391,love,103681,0.95
392,process,107341,0.91
393,music,102657,0.95
394,including,103650,0.94
395,consider,101987,0.96
396,appear,100671,0.97
397,actually,105155,0.92
398,buy,101105,0.95
399,probably,99754,0.96
400,human,101224,0.94
401,wait,102463,0.93
402,serve,99660,0.95
403,market,100435,0.94
404,die,98376,0.96
405,send,96613,0.97
406,expect,95566,0.98
407,home,97937,0.95
408,sense,95896,0.97
409,build,96651,0.96
410,stay,96933,0.96
411,fall,96908,0.95
412,oh,103613,0.89
413,nation,97212,0.95
414,plan,95824,0.96
415,cut,96012,0.95
416,college,97038,0.94
417,interest,96620,0.95
418,death,93222,0.98
419,course,96224,0.95
420,someone,95608,0.95
421,experience,98106,0.93
422,behind,95047,0.93
423,reach,92375,0.96
424,local,92970,0.95
425,kill,92660,0.95
426,six,90571,0.97
427,remain,91319,0.96
428,effect,95216,0.92
429,use,96564,0.9
430,yeah,103389,0.84
431,suggest,92643,0.93
432,class,91323,0.94
433,control,90301,0.94
434,raise,87036,0.98
435,care,88862,0.96
436,perhaps,87060,0.98
437,little,88697,0.95
438,late,86421,0.98
439,hard,86817,0.97
440,field,87243,0.96
441,else,87876,0.95
442,pass,86184,0.97
443,former,88930,0.94
444,sell,87865,0.95
445,major,87487,0.95
446,sometimes,84845,0.98
447,require,89280,0.93
448,along,84926,0.97
449,development,91995,0.9
450,themselves,85256,0.97
451,report,88138,0.93
452,role,88666,0.92
453,better,83895,0.98
454,economic,90392,0.91
455,effort,86473,0.95
456,up,85759,0.95
457,decide,84035,0.97
458,rate,87224,0.94
459,strong,83677,0.98
460,possible,85084,0.96
461,heart,84536,0.96
462,drug,86231,0.94
463,show,86828,0.94
464,leader,85438,0.95
465,light,87427,0.93
466,voice,89379,0.9
467,wife,83601,0.96
468,whole,83756,0.96
469,police,85880,0.93
470,mind,82808,0.96
471,finally,81951,0.97
472,pull,87243,0.91
473,return,81812,0.97
474,free,82090,0.97
475,military,85152,0.93
476,price,84443,0.94
477,report,83174,0.95
478,less,82930,0.95
479,according,83773,0.94
480,decision,82429,0.95
481,explain,80797,0.97
482,son,80895,0.97
483,hope,81385,0.96
484,even,79087,0.98
485,develop,84835,0.92
486,view,81338,0.96
487,relationship,84549,0.92
488,carry,79513,0.97
489,town,79821,0.97
490,road,80987,0.95
491,drive,80476,0.96
492,arm,84865,0.91
